VIDEOID,SIGNALID,LOCATION,TIME1,TIME2,X1,X2,X3,X4,P1,P2,P3,P4,C1,C2,C3,C4,PERSON1,PERSON2,SAVED,NOTES,FOLDER
138,6303,"State St / US-89 @ 800 N / SR-52, ORM",6/24/2019 11:49,6/24/2019 13:44,N,,,W,8,2,4,6,,,,NW,PAS,,54:04.2,,2019-06-24 6303
139,6303,"State St / US-89 @ 800 N / SR-52, ORM",6/24/2019 13:49,6/25/2019 13:31,N,,,W,8,2,4,6,,,,NW,PAS,,54:04.2,,2019-06-24 6303
140,7110,"Redwood Rd / SR-68 @ 5400 S / SR-173, TAY",6/24/2019 11:50,6/26/2019 13:38,N,E,,,8,2,4,6,NE,,,,PAS,AB,33:10.6,,2019-06-24 7110
141,8601,"Main St @ 100 S, STG",6/24/2019 11:50,6/26/2019 13:38,N,,S,W,2,4,6,8,,,SW,NW,PAS,,57:02.8,,2019-06-24 8601
142,6303,"State St / US-89 @ 800 N / SR-52, ORM",6/25/2019 13:31,6/26/2019 13:38,,E,S,,8,2,4,6,,SE,,,PAS,,59:00.0,,2019-06-25 6303
143,5330,"US-89/91 @ 1700 S / Park Ave / 600 W, LGN",6/26/2019 13:49,6/27/2019 23:49,NE,SE,SW,,8,2,4,6,E,S,,,PAS,,02:04.3,,2019-06-26 5330
144,6303,"State St / US-89 @ 800 N / SR-52, ORM",6/26/2019 13:50,6/28/2019 16:10,N,,,W,8,2,4,6,,,,NW,PAS,SB,06:42.8,,2019-06-26 6303
145,6436,"University Pkwy / SR-265 @ 2230 N / Riverside Ave / 550 W, PVO",6/26/2019 13:50,6/28/2019 16:10,,SE,S,,2,4,6,8,,S,,,PAS,SB,32:13.6,southeast crosswalk is left/close half; south crosswalk is right/far half,2019-06-26 6436
146,8601,"Main St @ 100 S, STG",6/26/2019 13:51,6/28/2019 6:10,,E,S,W,2,4,6,8,,SE,SW,,PAS,,10:51.3,,2019-06-26 8601
147,5618,"Gentile St @ Flint St, LTN",6/28/2019 16:24,7/1/2019 8:30,,E,S,,NA,NA,6,NA,,SE,,,PAS,,15:36.2,,2019-06-28 5618
148,7110,"Redwood Rd / SR-68 @ 5400 S / SR-173, TAY",6/28/2019 16:25,7/1/2019 8:30,,E,S,W,8,2,4,6,,SE,SW,,PAS,,13:55.4,,2019-06-28 7110
149,8302,"Main St / US-191 @ Center St, MAB",6/28/2019 16:25,6/28/2019 22:56,N,E,,W,8,2,4,6,NE,,,NW,PAS,,17:36.9,,2019-06-28 8302
150,4011,"3900 S @ 2300 E, HDY",7/1/2019 8:45,7/3/2019 13:14,N,E,,W,2,4,5,8,NE,,,NW,PAS,,20:55.9,,2019-07-01 4011
151,5618,"Gentile St @ Flint St, LTN",7/1/2019 8:44,7/3/2019 13:14,,,S,W,NA,NA,6,NA,,,SW,,PAS,,19:11.2,,2019-07-01 5618
152,7099,"Redwood Rd / SR-68 @ 2320 S, WVC",7/1/2019 8:45,7/2/2019 1:08,N,E,,,8,2,4,6,NE,,,,PAS,,22:51.1,,2019-07-01 7099
153,7099,"Redwood Rd / SR-68 @ 2320 S, WVC",7/2/2019 1:37,7/3/2019 13:14,N,E,,,8,2,4,6,NE,,,,PAS,,26:28.0,,2019-07-02 7099
154,4011,"3900 S @ 2300 E, HDY",7/5/2019 13:05,7/8/2019 8:47,N,E,S,,2,4,6,8,NE,SE,,,PAS,,23:41.0,,2019-07-05 4011
155,5349,"Main St / US-89 @ 2600 S / SR-93, BTF",7/5/2019 13:06,7/8/2019 8:47,N,E,S,W,8,2,4,6,NE,SE,,NW,PAS,AB,37:42.9,video camera is on sw corner,2019-07-05 5349
156,7099,"Redwood Rd / SR-68 @ 2320 S, WVC",7/5/2019 13:06,7/8/2019 8:47,N,,S,W,8,2,4,6,,,SW,NW,PAS,,33:46.5,,2019-07-05 7099
157,8222,"200 N / Freedom Blvd / SR-56 @ 1225 W / I-15 NB Ramps, CDC",7/5/2019 13:07,7/8/2019 8:47,,E,S,W,2,4,6,8,,SE,SW,,PAS,,35:30.5,,2019-07-05 8222
158,5024,"Washington Blvd / US-89 @ 24th St / SR-53, OGD",7/8/2019 8:56,7/10/2019 4:14,,E,S,,8,2,4,6,,SE,,,PAS,SB,38:31.6,,2019-07-08 5024
159,5030,"Washington Blvd / US-89 @ 12th St / SR-39, OGD",7/8/2019 8:57,7/9/2019 12:05,N,,,W,8,2,4,6,,,,NW,PAS,,45:34.2,,2019-07-08 5030
160,6038,"Pioneer Crossing / SR-145 @ 2300 W / Saratoga Rd, LHI",7/8/2019 8:57,7/10/2019 4:14,N,E,S,W,2,4,6,8,,SE,,,PAS,AB,23:15.7,video camera is on nw corner,2019-07-08 6038
161,8302,"Main St / US-191 @ Center St, MAB",7/8/2019 8:58,7/10/2019 4:14,N,E,,W,8,2,4,6,NE,,,NW,PAS,,40:58.2,,2019-07-08 8302
162,4895,"New Bingham Hwy @ 4800 W, WJD",7/10/2019 16:52,7/12/2019 14:32,,,S,W,2,4,6,8,,,SW,,PAS,SB,03:53.5,,2019-07-10 4895
163,5030,"Washington Blvd / US-89 @ 12th St / SR-39, OGD",7/10/2019 16:53,7/11/2019 14:26,,E,S,,8,2,4,6,,SE,,,PAS,,47:42.3,,2019-07-10 5030
164,7381,"5600 W / SR-172 @ 3500 S / SR-171, WVC",7/10/2019 16:53,7/10/2019 19:03,N,E,S,,2,4,6,8,NE,SE,,,PAS,,51:25.8,,2019-07-10 7381
165,8302,"Main St / US-191 @ Center St, MAB",7/10/2019 16:54,7/12/2019 14:32,N,E,S,,8,2,4,6,NE,SE,,,PAS,SB,45:36.4,,2019-07-10 8302
166,5030,"Washington Blvd / US-89 @ 12th St / SR-39, OGD",7/11/2019 15:12,7/12/2019 14:28,,E,S,,8,2,4,6,,SE,,,PAS,,54:23.2,,2019-07-11 5030
167,4020,"3900 S @ 210 W / Howick St, SSL",7/12/2019 14:43,7/15/2019 8:14,,,S,W,2,4,6,NA,,,SW,,PAS,,57:26.9,,2019-07-12 4020
168,4895,"New Bingham Hwy @ 4800 W, WJD",7/12/2019 14:43,7/15/2019 8:14,N,E,,,2,4,6,8,NE,,,,PAS,,55:53.8,,2019-07-12 4895
169,7164,"State St / US-89 @ Winchester St / 6400 S, MUR",7/12/2019 14:44,7/15/2019 8:14,N,E,,,8,2,4,6,NE,,,,PAS,AB,37:03.6,,2019-07-12 7164
170,4020,"3900 S @ 210 W / Howick St, SSL",7/15/2019 9:48,7/17/2019 12:44,N,E,,,2,4,6,NA,NE,,,,PAS,,09:42.2,,2019-07-15 4020
171,5624,"Fairfield Rd / 850 E @ Wasatch Dr / 425 N, LTN",7/15/2019 9:49,7/17/2019 12:44,N,E,S,,8,2,4,6,NE,SE,,,PAS,JDD,47:58.3,,2019-07-15 5624
172,6078,"Redwood Rd / SR-68 @ Pony Express Pkwy, SSP",7/15/2019 9:50,7/17/2019 12:44,,,S,W,NA,NA,4,6,,,SW,,PAS,,15:21.6,,2019-07-15 6078
173,7164,"State St / US-89 @ Winchester St / 6400 S, MUR",7/15/2019 9:50,7/17/2019 12:44,,,S,W,8,2,4,6,,,SW,,PAS,,16:56.5,,2019-07-15 7164
174,1225,"1300 E / Leopard Ln @ 800 S, SLC",7/17/2019 12:54,7/19/2019 16:17,N,E,,W,8,2,4,6,NE,,,NW,PAS,SB,07:39.6,,2019-07-17 1225
175,5624,"Fairfield Rd / 850 E @ Wasatch Dr / 425 N, LTN",7/17/2019 12:54,7/19/2019 16:17,,E,S,W,8,2,4,6,,SE,SW,,PAS,,18:38.9,,2019-07-17 5624
176,6307,"800 N / SR-52 @ Palisade Dr / 1300 E, ORM",7/17/2019 12:55,7/19/2019 16:17,,E,S,W,2,4,6,8,,SE,SW,,PAS,,22:15.5,,2019-07-17 6307
177,7126,"300 W / John Stockton Dr / US-89 @ South Temple St, SLC",7/17/2019 12:56,7/19/2019 16:17,N,,,W,8,2,4,6,,,,NW,PAS,,09:38.0,,2019-07-17 7126
178,1225,"1300 E / Leopard Ln @ 800 S, SLC",7/19/2019 16:27,7/22/2019 9:10,,,S,W,8,2,4,6,,,SW,,PAS,SB,55:09.3,,2019-07-19 1225
